Year granted;Period;Role;ID;Titile;Funder;Type;Total grant;Local Grant;;
2008;2009-2012;Coordinator;2008-2531;Microfluidic large scale integrated devices with individual chamber control functionalized;Fondazione Cariplo;Italian;151.000,00 €;85.000,00 €;;
2011;2012-2015;Coordinator;2011-0322;Lab on Chip for testing Myelotoxicity effect of Drugs and chemicals;Fondazione Cariplo;Italian;208.000,00 €;133.000,00 €;;
2011;2013-2016;Partner;162/GR-2011-02347879;SELECTIVE CEREBROSPINAL FLUID HYPOTHERMIA: BIOENGINEERING	DEVELOPMENT AND IN VIVO STUDY OF AN INTRAVENTRICULAR COOLING DEVICE (V-COOL) FOR ACUTE STROKE THERAPY;Min Salute;Italian;341.995,00 €;184.300,00 €;;
2012;2013-2016;Coordinator;2012-0891;Smart nanostructured hydrogel systems for generation of contractile cardiac organoids;Fondazione Cariplo;Italian;303.000,00 €;114.000,00 €;;
2013;2014-2017;Partner;2013-1048;Nanoparticles transport through the blood brain barrier in health and disease;Fondazione Cariplo;Italian;287.300,00 €;100.000,00 €;;
2014;2016-2018;Partner;PE-2013-02356613;Microfluidic organotypic model of monocyte transendothelial migration to the joint for the screening of promising therapeutic strategies in obese osteoarthritic patients;Min Salute;Italian;439.008,00 €;50.000,00 €;;
2015;2016-2017;Partner;;Development of methodologies alternative to the animal use in the activities of diagnostics and control of biological products in Zooprophylactic Institutes;Min Salute;Italian;497.500,00 €;50.000,00 €;;
2016;2017-2018;Partner;;Creation of a national network of IIZZSS laboratories involved in the development and application of alternative methods, and in the implementation of the good laboratory practice system;Min Salute;Italian;500.000,00 €;25.000,00 €;;
2016;2018-2019;Partner;GR-2016-02364990;Cholangiocytes-on-a-chip: a platform to identify medical therapy;Min Salute;Italian;411.750,00 €;60.000,00 €;;
2017;2018-2021;Partner;310030_175660;A 3D microfluidic osteochondral model to investigate mechanisms triggering osteoarthritis and therapeutic effects of bioactive factors produced by human nasal chondrocytes;SNF;Swiss;600.000,00 €;91.000,00 €;;
2018;2019-2022;Coordinator;2018-0551;uKNEEque: a 3D microfluidic osteochondral model to investigate mechanisms triggering age-related joint pathologies and therapeutic effects of bioactive factors produced by nasal chondrocytes;Fondazione Cariplo;Italian;400.000,00 €;240.000,00 €;;
2018;2019;Partner;GA-842423;BrainCircuit-on-chip;ERC-2018-PoC;European;150.000,00 €;50.000,00 €;;
2018;2019-2022;Coordinator;GA-841975;uKNEEversal: a miniaturized 3D in vitro model of human joint to gain new knowledge on Osteoarthritis pathophysiology;H2020-MSCA-IF-2018;European;171.473,28 €;171.473,28 €;;
2018;2019-2024;Coordinator;GA-860715;SINERGIA;H2020-MSCA-ITN-2019;European;3.951.996,12 €;726.939,36 €;;
2021;2022-2026;Coordinator;2021-1564;Unravelling the molecular correlation between mechanical injuries and cartilage hypertrophy in osteoarthritis in a synovial joint-on-chip model;Fondazione Cariplo;Italian;250.000,00 €;210.976,00 €;;
2022;2023-2026;Partner;GJC22040;Exploring the role of MLIP in LMNA-Cardiomyopathy in iPSC-based human cardiac models;Fondazione Cariplo + Fondazione Telethon;Italian;250.000,00 €;95.000,00 €;;
2022;2024-2026;Partner;ID 6261996;Endothelial von Willebrand factor and the tissue-specific regulation of angiogenesis and vascular integrity;MRC;UK-MRC;1.269.843,00 £;47.500,00 €;;
2022;2023-2026;Partner;2022YS87H7;DESIRE;PRIN-MUR;Italian;197.500,00 €;66.195,00 €;;
2022;2023-2026;Coordinator;P2022S94EZ;RECOVERY;PRIN-MUR-PNRR;Italian;224.971,00 €;78.961,00 €;;
2022;2023-2026;Coordinator;P20229Z3CM;AI-HEART;PRIN-MUR-PNRR;Italian;;;;
2024;2025;Coordinator;ID 121267;vEIColo: AI-RITMIA;Fondazione Compagnia di San Paolo;Italian;40.000,00 €;40.000,00 €;;
